latitude,longitude,depth,year,month,day,hour,minute,second,mag,timeStr,event_id,fmt_time,fmt_lat,fmt_lon,fmt_depth,fmt_mag
29.5217,101.9667,7.6,2022,9,4,3,29,3.65,1.3,2022-09-04 03:29:03.65,0,2022-09-04 03:29:03.65,29.522,101.967,7.6km,M1.3
29.6181,102.0609,4.01,2022,9,5,12,55,21.74,3.6,2022-09-05 12:55:21.74,1,2022-09-05 12:55:21.74,29.618,102.061,4.0km,M3.6
29.4035,102.1938,12.44,2022,9,5,12,56,35.00,4.5,2022-09-05 12:56:35.00,2,2022-09-05 12:56:35.00,29.404,102.194,12.4km,M4.5
29.4217,102.1609,0.84,2022,9,5,12,58,30.21,3.2,2022-09-05 12:58:30.21,3,2022-09-05 12:58:30.21,29.422,102.161,0.8km,M3.2
29.4434,102.1797,11.04,2022,9,5,13,2,5.74,2.7,2022-09-05 13:02:05.74,4,2022-09-05 13:02:05.74,29.443,102.180,11.0km,M2.7
29.6194,102.0547,8.92,2022,9,5,13,3,14.92,3.5,2022-09-05 13:03:14.92,5,2022-09-05 13:03:14.92,29.619,102.055,8.9km,M3.5
29.6125,102.088,4.53,2022,9,5,13,4,1.54,3.0,2022-09-05 13:04:01.54,6,2022-09-05 13:04:01.54,29.613,102.088,4.5km,M3.0
29.4036,102.2106,7.28,2022,9,5,13,9,9.65,2.7,2022-09-05 13:09:09.65,7,2022-09-05 13:09:09.65,29.404,102.211,7.3km,M2.7
29.5038,102.1173,8.38,2022,9,5,13,9,48.35,2.6,2022-09-05 13:09:48.35,8,2022-09-05 13:09:48.35,29.504,102.117,8.4km,M2.6
29.4674,102.1646,4.91,2022,9,5,13,10,24.05,3.5,2022-09-05 13:10:24.05,9,2022-09-05 13:10:24.05,29.467,102.165,4.9km,M3.5
29.455,102.1451,2.05,2022,9,5,13,11,13.72,2.6,2022-09-05 13:11:13.72,10,2022-09-05 13:11:13.72,29.455,102.145,2.0km,M2.6
29.443,102.1866,10.45,2022,9,5,13,11,56.89,2.7,2022-09-05 13:11:56.89,11,2022-09-05 13:11:56.89,29.443,102.187,10.4km,M2.7
29.5093,102.1174,7.8,2022,9,5,13,15,31.20,3.3,2022-09-05 13:15:31.20,12,2022-09-05 13:15:31.20,29.509,102.117,7.8km,M3.3
29.4364,102.1622,0.55,2022,9,5,13,16,9.26,2.7,2022-09-05 13:16:09.26,13,2022-09-05 13:16:09.26,29.436,102.162,0.6km,M2.7
29.6137,102.0934,3.82,2022,9,5,13,17,46.31,2.7,2022-09-05 13:17:46.31,14,2022-09-05 13:17:46.31,29.614,102.093,3.8km,M2.7
29.6174,102.089,4.2,2022,9,5,13,19,7.63,2.2,2022-09-05 13:19:07.63,15,2022-09-05 13:19:07.63,29.617,102.089,4.2km,M2.2
29.4026,102.171,5.95,2022,9,5,13,19,49.59,2.4,2022-09-05 13:19:49.59,16,2022-09-05 13:19:49.59,29.403,102.171,6.0km,M2.4
29.4256,102.1644,10.37,2022,9,5,13,23,24.56,2.2,2022-09-05 13:23:24.56,17,2022-09-05 13:23:24.56,29.426,102.164,10.4km,M2.2
29.4514,102.1576,7.49,2022,9,5,13,28,23.05,3.3,2022-09-05 13:28:23.05,18,2022-09-05 13:28:23.05,29.451,102.158,7.5km,M3.3
29.61,102.0186,5.93,2022,9,5,13,28,47.38,3.8,2022-09-05 13:28:47.38,19,2022-09-05 13:28:47.38,29.610,102.019,5.9km,M3.8
29.4072,102.1507,10.68,2022,9,5,13,31,40.89,3.0,2022-09-05 13:31:40.89,20,2022-09-05 13:31:40.89,29.407,102.151,10.7km,M3.0
29.4055,102.1754,12.49,2022,9,5,13,33,34.36,2.6,2022-09-05 13:33:34.36,21,2022-09-05 13:33:34.36,29.405,102.175,12.5km,M2.6
29.6039,102.022,4.69,2022,9,5,13,34,13.28,3.1,2022-09-05 13:34:13.28,22,2022-09-05 13:34:13.28,29.604,102.022,4.7km,M3.1
29.4098,102.1471,1.95,2022,9,5,13,34,28.37,3.1,2022-09-05 13:34:28.37,23,2022-09-05 13:34:28.37,29.410,102.147,1.9km,M3.1
29.4853,102.1992,10.42,2022,9,5,13,38,0.02,3.5,2022-09-05 13:38:00.02,24,2022-09-05 13:38:00.02,29.485,102.199,10.4km,M3.5
29.4039,102.187,9.28,2022,9,5,13,40,20.63,2.6,2022-09-05 13:40:20.63,25,2022-09-05 13:40:20.63,29.404,102.187,9.3km,M2.6
29.4204,102.1862,7.98,2022,9,5,13,42,17.87,2.2,2022-09-05 13:42:17.87,26,2022-09-05 13:42:17.87,29.420,102.186,8.0km,M2.2
29.5047,102.1095,4.76,2022,9,5,13,43,37.67,2.0,2022-09-05 13:43:37.67,27,2022-09-05 13:43:37.67,29.505,102.109,4.8km,M2.0
29.6076,102.0136,2.83,2022,9,5,13,45,28.96,2.7,2022-09-05 13:45:28.96,28,2022-09-05 13:45:28.96,29.608,102.014,2.8km,M2.7
29.4473,102.1658,9.73,2022,9,5,13,46,50.32,2.7,2022-09-05 13:46:50.32,29,2022-09-05 13:46:50.32,29.447,102.166,9.7km,M2.7
29.491,102.2142,8.11,2022,9,5,13,47,10.58,3.1,2022-09-05 13:47:10.58,30,2022-09-05 13:47:10.58,29.491,102.214,8.1km,M3.1
