latitude,longitude,depth,year,month,day,hour,minute,second,mag,timeStr,event_id,fmt_time,fmt_lat,fmt_lon,fmt_depth,fmt_mag
29.894,94.929,23,2023,1,1,0,8,27.54,3.0,2023-01-01 00:08:27.54,0,2023-01-01 00:08:27.54,29.894,94.929,23km,M3.0
22.37,101.63,18,2023,1,1,1,59,59.42,2.0,2023-01-01 01:59:59.42,1,2023-01-01 01:59:59.42,22.37,101.63,18km,M2.0
21.056,99.864,5,2023,1,1,2,35,20.56,2.7,2023-01-01 02:35:20.56,2,2023-01-01 02:35:20.56,21.056,99.864,5km,M2.7
37.043,79.591,5,2023,1,1,3,52,11.54,2.3,2023-01-01 03:52:11.54,3,2023-01-01 03:52:11.54,37.043,79.591,5km,M2.3
29.907,94.923,7,2023,1,1,4,30,3.32,2.4,2023-01-01 04:30:03.32,4,2023-01-01 04:30:03.32,29.907,94.923,7km,M2.4
43.509,87.026,14,2023,1,1,5,9,33.18,2.7,2023-01-01 05:09:33.18,5,2023-01-01 05:09:33.18,43.509,87.026,14km,M2.7
23.078,102.438,8,2023,1,1,5,14,19.49,2.4,2023-01-01 05:14:19.49,6,2023-01-01 05:14:19.49,23.078,102.438,8km,M2.4
31.007,103.333,17,2023,1,1,5,38,11.98,2.8,2023-01-01 05:38:11.98,7,2023-01-01 05:38:11.98,31.007,103.333,17km,M2.8
34.519,96.724,9,2023,1,1,5,57,19.77,2.3,2023-01-01 05:57:19.77,8,2023-01-01 05:57:19.77,34.519,96.724,9km,M2.3
35.571,99.141,10,2023,1,1,5,58,25.39,2.0,2023-01-01 05:58:25.39,9,2023-01-01 05:58:25.39,35.571,99.141,10km,M2.0
33.914,97.518,7,2023,1,1,6,13,21.09,2.1,2023-01-01 06:13:21.09,10,2023-01-01 06:13:21.09,33.914,97.518,7km,M2.1
29.898,94.925,19,2023,1,1,6,20,20.71,2.8,2023-01-01 06:20:20.71,11,2023-01-01 06:20:20.71,29.898,94.925,19km,M2.8
37.283,79.65,6,2023,1,1,6,53,51.5,2.6,2023-01-01 06:53:51.50,12,2023-01-01 06:53:51.50,37.283,79.65,6km,M2.6
35.693,99.288,9,2023,1,1,7,8,26.5,2.3,2023-01-01 07:08:26.50,13,2023-01-01 07:08:26.50,35.693,99.288,9km,M2.3
29.895,94.914,7,2023,1,1,7,39,0.47,2.6,2023-01-01 07:39:00.47,14,2023-01-01 07:39:00.47,29.895,94.914,7km,M2.6
33.795,100.685,8,2023,1,1,7,47,32.59,2.1,2023-01-01 07:47:32.59,15,2023-01-01 07:47:32.59,33.795,100.685,8km,M2.1
32.258,89.629,6,2023,1,1,7,52,5.71,2.9,2023-01-01 07:52:05.71,16,2023-01-01 07:52:05.71,32.258,89.629,6km,M2.9
21.156,99.918,10,2023,1,1,7,59,26.75,2.4,2023-01-01 07:59:26.75,17,2023-01-01 07:59:26.75,21.156,99.918,10km,M2.4
32.03,95.358,25,2023,1,1,8,55,44.46,2.7,2023-01-01 08:55:44.46,18,2023-01-01 08:55:44.46,32.03,95.358,25km,M2.7
31.1,94.827,10,2023,1,1,10,17,19.2,2.6,2023-01-01 10:17:19.20,19,2023-01-01 10:17:19.20,31.1,94.827,10km,M2.6
33.639,97.434,7,2023,1,1,10,48,29.0,2.0,2023-01-01 10:48:29.00,20,2023-01-01 10:48:29.00,33.639,97.434,7km,M2.0
41.274,83.858,7,2023,1,1,11,59,20.52,2.2,2023-01-01 11:59:20.52,21,2023-01-01 11:59:20.52,41.274,83.858,7km,M2.2
