latitude,longitude,depth,year,month,day,hour,minute,second,mag,timeStr,event_id,fmt_time,fmt_lat,fmt_lon,fmt_depth,fmt_mag
26.93383,102.873779,13.194,2022,8,23,1,30,50.73,1.377363,2022-08-23 01:30:50.730,0,2022-08-23 01:30:50.730,26.934,102.874,13.2km,M1.4
26.981441,102.819295,17.54,2022,8,23,11,29,7.77,1.411879,2022-08-23 11:29:07.770,1,2022-08-23 11:29:07.770,26.981,102.819,17.5km,M1.4
27.082617,102.679028,11.293,2022,8,23,11,32,36.29,0.841629,2022-08-23 11:32:36.290,2,2022-08-23 11:32:36.290,27.083,102.679,11.3km,M0.8
27.072982,102.820329,9.971,2022,8,23,12,27,12.62,1.107867,2022-08-23 12:27:12.620,3,2022-08-23 12:27:12.620,27.073,102.82,10.0km,M1.1
27.118191,102.88339,26.431,2022,8,23,14,49,50.97,1.316492,2022-08-23 14:49:50.970,4,2022-08-23 14:49:50.970,27.118,102.883,26.4km,M1.3
26.619373,102.931022,2.973,2022,8,23,14,58,17.03,1.447593,2022-08-23 14:58:17.030,5,2022-08-23 14:58:17.030,26.619,102.931,3.0km,M1.4
27.139158,102.8545,12.671,2022,8,23,15,5,17.87,0.841059,2022-08-23 15:05:17.870,6,2022-08-23 15:05:17.870,27.139,102.854,12.7km,M0.8
27.032497,102.732316,16.728,2022,8,23,20,44,0.8,2.169423,2022-08-23 20:44:00.800,7,2022-08-23 20:44:00.800,27.032,102.732,16.7km,M2.2
26.956384,102.823356,14.131,2022,8,23,20,56,13.4,2.385169,2022-08-23 20:56:13.400,8,2022-08-23 20:56:13.400,26.956,102.823,14.1km,M2.4
26.907662,102.86744,5.97,2022,8,23,21,10,28.62,0.922246,2022-08-23 21:10:28.620,9,2022-08-23 21:10:28.620,26.908,102.867,6.0km,M0.9
26.940238,102.881177,14.451,2022,8,24,1,31,3.84,1.6334,2022-08-24 01:31:03.840,10,2022-08-24 01:31:03.840,26.94,102.881,14.5km,M1.6
27.085592,102.678296,11.672,2022,8,24,13,2,23.75,2.68644,2022-08-24 13:02:23.750,11,2022-08-24 13:02:23.750,27.086,102.678,11.7km,M2.7
26.994566,102.900806,9.839,2022,8,24,14,7,47.53,2.473865,2022-08-24 14:07:47.530,12,2022-08-24 14:07:47.530,26.995,102.901,9.8km,M2.5
26.990896,102.887581,11.66,2022,8,24,22,54,28.02,2.012298,2022-08-24 22:54:28.020,13,2022-08-24 22:54:28.020,26.991,102.888,11.7km,M2.0
26.653381,103.02111,16.435,2022,8,25,1,2,51.7,1.380508,2022-08-25 01:02:51.700,14,2022-08-25 01:02:51.700,26.653,103.021,16.4km,M1.4
26.831624,102.977897,6.6,2022,8,25,20,16,56.22,2.567966,2022-08-25 20:16:56.220,15,2022-08-25 20:16:56.220,26.832,102.978,6.6km,M2.6
27.128902,103.201554,2.802,2022,8,26,19,28,50.88,1.555695,2022-08-26 19:28:50.880,16,2022-08-26 19:28:50.880,27.129,103.202,2.8km,M1.6
27.087292,102.798853,2.876,2022,8,26,21,49,11.3,2.17055,2022-08-26 21:49:11.300,17,2022-08-26 21:49:11.300,27.087,102.799,2.9km,M2.2
27.012014,103.00306,6.777,2022,8,26,21,51,7.24,2.187197,2022-08-26 21:51:07.240,18,2022-08-26 21:51:07.240,27.012,103.003,6.8km,M2.2
