latitude,longitude,depth,year,month,day,mag,timeStr,event_id,fmt_lat,fmt_lon,fmt_depth,fmt_mag
28.148,104.868,3.636,2017,03,10,0.7596,2017-03-10,0,28.148,104.868,3.6km,M0.8
28.149,104.866,2.66,2017,03,10,0.0793,2017-03-10,1,28.149,104.866,2.7km,M0.1
28.149,104.869,3.597,2017,03,12,0.5524,2017-03-12,2,28.149,104.869,3.6km,M0.6
28.149,104.869,3.208,2017,03,12,0.383,2017-03-12,3,28.149,104.869,3.2km,M0.4
28.15,104.867,3.215,2017,03,12,0.295,2017-03-12,4,28.15,104.867,3.2km,M0.3
28.148,104.869,3.187,2017,03,12,0.7026,2017-03-12,5,28.148,104.869,3.2km,M0.7
28.151,104.874,2.415,2017,03,12,0.4313,2017-03-12,6,28.151,104.874,2.4km,M0.4
28.148,104.869,3.478,2017,03,12,1.104,2017-03-12,7,28.148,104.869,3.5km,M1.1
28.147,104.866,3.422,2017,03,12,0.266,2017-03-12,8,28.147,104.866,3.4km,M0.3
28.148,104.871,3.188,2017,03,12,0.2879,2017-03-12,9,28.148,104.871,3.2km,M0.3
28.148,104.87,3.187,2017,03,12,0.2826,2017-03-12,10,28.148,104.87,3.2km,M0.3
28.149,104.869,3.405,2017,03,12,0.8047,2017-03-12,11,28.149,104.869,3.4km,M0.8
28.149,104.871,3.165,2017,03,12,0.6523,2017-03-12,12,28.149,104.871,3.2km,M0.7
28.148,104.87,3.479,2017,03,12,0.6125,2017-03-12,13,28.148,104.87,3.5km,M0.6
28.15,104.87,3.227,2017,03,12,0.3824,2017-03-12,14,28.15,104.87,3.2km,M0.4
28.149,104.87,3.294,2017,03,12,0.3939,2017-03-12,15,28.149,104.87,3.3km,M0.4
28.148,104.87,3.302,2017,03,12,0.7825,2017-03-12,16,28.148,104.87,3.3km,M0.8
28.149,104.866,3.354,2017,03,13,1.041,2017-03-13,17,28.149,104.866,3.4km,M1.0
28.15,104.865,3.435,2017,03,13,0.6911,2017-03-13,18,28.15,104.865,3.4km,M0.7
28.152,104.865,3.32,2017,03,13,0.3628,2017-03-13,19,28.152,104.865,3.3km,M0.4
28.148,104.864,3.226,2017,03,13,1.3527,2017-03-13,20,28.148,104.864,3.2km,M1.4
28.149,104.87,3.25,2017,03,14,0.6159,2017-03-14,21,28.149,104.87,3.2km,M0.6
28.149,104.869,3.387,2017,03,14,0.7719,2017-03-14,22,28.149,104.869,3.4km,M0.8
28.148,104.871,3.322,2017,03,14,0.8054,2017-03-14,23,28.148,104.871,3.3km,M0.8
28.149,104.869,3.318,2017,03,14,0.8658,2017-03-14,24,28.149,104.869,3.3km,M0.9
28.149,104.87,3.338,2017,03,14,0.4309,2017-03-14,25,28.149,104.87,3.3km,M0.4
28.15,104.871,3.379,2017,03,14,0.4344,2017-03-14,26,28.15,104.871,3.4km,M0.4
28.148,104.871,3.05,2017,03,14,0.6336,2017-03-14,27,28.148,104.871,3.0km,M0.6
