system,system_label,catalog,condition,question_set,n,mean_score_lenient,mean_score_strict,refusal_rate,share_score_3,share_score_0
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,deterministic (44),44,0.86,0.18,0.682,0.0,0.182
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,interpretive (56),56,1.0,0.5,0.857,0.0,0.071
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,interpretive excluding D (36),36,1.0,0.22,0.778,0.0,0.111
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,all (100),100,0.94,0.36,0.78,0.0,0.12
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,"deterministic, category A",8,1.0,0.12,0.875,0.0,0.0
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,"deterministic, category B",20,0.8,0.05,0.75,0.0,0.2
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,"deterministic, category C",9,0.89,0.67,0.222,0.0,0.333
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,+narrative,"deterministic, category E",7,0.86,0.0,0.857,0.0,0.143
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,deterministic (44),44,0.73,0.07,0.659,0.0,0.295
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,interpretive (56),56,1.57,1.07,0.857,0.321,0.089
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,interpretive excluding D (36),36,0.89,0.11,0.778,0.0,0.139
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,all (100),100,1.2,0.63,0.77,0.18,0.18
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,"deterministic, category A",8,1.0,0.0,1.0,0.0,0.0
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,"deterministic, category B",20,0.75,0.05,0.7,0.0,0.25
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,"deterministic, category C",9,0.22,0.22,0.0,0.0,0.889
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Maduo,catalog-only,"deterministic, category E",7,1.0,0.0,1.0,0.0,0.0
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,deterministic (44),44,0.7,0.39,0.318,0.0,0.386
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,interpretive (56),56,1.34,1.21,0.446,0.0,0.054
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,interpretive excluding D (36),36,1.47,1.28,0.194,0.0,0.083
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,all (100),100,1.06,0.85,0.39,0.0,0.2
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,"deterministic, category A",8,0.88,0.75,0.125,0.0,0.25
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,"deterministic, category B",20,0.55,0.2,0.35,0.0,0.5
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,"deterministic, category C",9,0.89,0.44,0.444,0.0,0.333
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,+narrative,"deterministic, category E",7,0.71,0.43,0.286,0.0,0.286
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Qiaojia,catalog-only,deterministic (44),44,0.7,0.34,0.364,0.0,0.364
