condition,comparison,convention,scope,n_pairs,mean_diff,ci_low,ci_high,improved,worsened,unchanged,significant
qiaojia_only,stage 1 - default,lenient,all,100,-0.07,-0.28,0.16,23,37,40,no
qiaojia_only,stage 1 - default,lenient,A,20,-0.7,-1.05,-0.35,2,14,4,yes
qiaojia_only,stage 1 - default,lenient,B,20,-0.15,-0.45,0.15,3,5,12,no
qiaojia_only,stage 1 - default,lenient,C,20,-0.2,-0.6,0.25,4,7,9,no
qiaojia_only,stage 1 - default,lenient,D,20,1.3,0.8,1.75,13,1,6,yes
qiaojia_only,stage 1 - default,lenient,E,20,-0.6,-0.95,-0.25,1,10,9,yes
qiaojia_only,stage 1 - default,strict,all,100,-0.28,-0.53,-0.03,21,44,35,yes
qiaojia_only,stage 1 - default,strict,A,20,-0.95,-1.35,-0.5,2,14,4,yes
qiaojia_only,stage 1 - default,strict,B,20,-0.3,-0.65,0.0,2,6,12,no
qiaojia_only,stage 1 - default,strict,C,20,-0.6,-1.05,-0.1,3,11,6,yes
qiaojia_only,stage 1 - default,strict,D,20,1.3,0.8,1.75,13,1,6,yes
qiaojia_only,stage 1 - default,strict,E,20,-0.85,-1.25,-0.45,1,12,7,yes
qiaojia_only,stage 2 - default,lenient,all,100,0.04,-0.18,0.26,26,32,42,no
qiaojia_only,stage 2 - default,lenient,A,20,-0.35,-0.75,0.0,3,7,10,no
qiaojia_only,stage 2 - default,lenient,B,20,-0.15,-0.55,0.25,4,7,9,no
qiaojia_only,stage 2 - default,lenient,C,20,-0.25,-0.6,0.15,2,7,11,no
qiaojia_only,stage 2 - default,lenient,D,20,1.45,1.05,1.85,15,0,5,yes
qiaojia_only,stage 2 - default,lenient,E,20,-0.5,-0.8,-0.2,2,11,7,yes
qiaojia_only,stage 2 - default,strict,all,100,-0.18,-0.43,0.07,23,39,38,no
qiaojia_only,stage 2 - default,strict,A,20,-0.45,-0.85,-0.05,2,7,11,yes
qiaojia_only,stage 2 - default,strict,B,20,-0.3,-0.75,0.15,3,7,10,no
qiaojia_only,stage 2 - default,strict,C,20,-0.85,-1.25,-0.4,1,14,5,yes
qiaojia_only,stage 2 - default,strict,D,20,1.45,1.05,1.85,15,0,5,yes
qiaojia_only,stage 2 - default,strict,E,20,-0.75,-1.2,-0.3,2,11,7,yes
qiaojia_only,stage 2 - stage 1,lenient,all,100,0.11,-0.03,0.25,24,15,61,no
qiaojia_only,stage 2 - stage 1,lenient,A,20,0.35,0.0,0.65,10,2,8,no
qiaojia_only,stage 2 - stage 1,lenient,B,20,0.0,-0.3,0.3,3,4,13,no
qiaojia_only,stage 2 - stage 1,lenient,C,20,-0.05,-0.4,0.3,4,6,10,no
qiaojia_only,stage 2 - stage 1,lenient,D,20,0.15,0.0,0.4,2,0,18,no
qiaojia_only,stage 2 - stage 1,lenient,E,20,0.1,-0.15,0.35,5,3,12,no
qiaojia_only,stage 2 - stage 1,strict,all,100,0.1,-0.06,0.27,24,16,60,no
qiaojia_only,stage 2 - stage 1,strict,A,20,0.5,0.05,0.9,12,3,5,yes
qiaojia_only,stage 2 - stage 1,strict,B,20,0.0,-0.35,0.35,3,3,14,no
qiaojia_only,stage 2 - stage 1,strict,C,20,-0.25,-0.6,0.1,1,5,14,no
qiaojia_only,stage 2 - stage 1,strict,D,20,0.15,0.0,0.4,2,0,18,no
qiaojia_only,stage 2 - stage 1,strict,E,20,0.1,-0.25,0.45,6,5,9,no
qiaojia_only,stage 1 - vector-RAG,lenient,all,100,-0.16,-0.31,-0.02,12,23,65,yes
qiaojia_only,stage 1 - vector-RAG,strict,all,100,0.19,0.0,0.39,28,13,59,no
qiaojia_only,stage 2 - vector-RAG,lenient,all,100,-0.05,-0.19,0.09,22,24,54,no
qiaojia_only,stage 2 - vector-RAG,strict,all,100,0.29,0.09,0.49,31,13,56,yes
qiaojia_narrative,stage 1 - default,lenient,all,100,-0.31,-0.45,-0.18,10,38,52,yes
qiaojia_narrative,stage 1 - default,lenient,A,20,-0.35,-0.6,-0.05,2,9,9,yes
qiaojia_narrative,stage 1 - default,lenient,B,20,-0.2,-0.45,0.05,1,4,15,no
qiaojia_narrative,stage 1 - default,lenient,C,20,-0.2,-0.6,0.2,5,7,8,no
qiaojia_narrative,stage 1 - default,lenient,D,20,-0.55,-0.8,-0.3,1,12,7,yes
qiaojia_narrative,stage 1 - default,lenient,E,20,-0.25,-0.5,0.0,1,6,13,no
qiaojia_narrative,stage 1 - default,strict,all,100,-0.45,-0.62,-0.28,9,40,51,yes
qiaojia_narrative,stage 1 - default,strict,A,20,-0.45,-0.8,-0.1,2,9,9,yes
qiaojia_narrative,stage 1 - default,strict,B,20,-0.25,-0.6,0.05,1,4,15,no
