catalog,condition,prompts,index,n_communities,n_top_level,max_level,matched_events,share_matched_events_in_any_community,share_all_entities_in_any_community,top_n_communities_with_events,top_events_per_community_median,top_time_span_days_median,top_rms_radius_km_median,top_ari_vs_ref_louvain,top_nmi_vs_ref_louvain,top_n_events_compared,leaf_n_communities_with_events,leaf_events_per_community_median,leaf_time_span_days_median,leaf_rms_radius_km_median,leaf_ari_vs_ref_louvain,leaf_nmi_vs_ref_louvain,leaf_n_events_compared,leaf_radius_random_km,leaf_radius_timewindow_km,leaf_radius_spatial_nn_km,leaf_share_time_contiguous,leaf_purity_vs_ref,leaf_purity_timewindow_vs_ref,leaf_purity_random_vs_ref,leaf_ari_timewindow_vs_ref
Qiaojia,catalog-only,default,"Qiaojia catalog-only, default",146,29,3,449,0.3341,0.3747,13.0,9.0,102.2,19.04,0.0554,0.291,150.0,43,2.0,0.25,13.28,0.0212,0.4532,150.0,14.0148,17.7593,0.1234,0.4242,0.5229,0.491,0.4006,0.0036
Qiaojia,+narrative,default,"Qiaojia +narrative, default",136,27,3,464,0.4634,0.3185,15.0,7.0,0.38,17.27,0.0448,0.2743,215.0,45,2.0,0.09,9.96,0.0652,0.3978,215.0,15.9171,17.7442,0.2048,0.4,0.4742,0.3955,0.4197,0.01
Ridgecrest,catalog-only,default,"Ridgecrest catalog-only, default",83,21,3,3,1.0,0.7426,3.0,1.0,0.0,0.0,,,,3,1.0,0.0,0.0,,,,,,,,,,,
Ridgecrest,+narrative,default,"Ridgecrest +narrative, default",90,16,2,17,1.0,0.7143,5.0,4.0,0.01,17.33,,,,7,3.0,0.01,7.59,,,,,,,,,,,
Maduo,catalog-only,default,"Maduo catalog-only, default",600,76,3,1742,0.1142,0.4533,28.0,4.0,0.25,36.93,,,,62,2.0,0.01,7.31,,,,41.36,9.1408,0.0837,0.8,,,,
Maduo,+narrative,default,"Maduo +narrative, default",641,87,3,1733,0.0917,0.4228,20.0,6.0,5.55,43.09,,,,58,2.0,0.02,12.78,,,,38.8746,7.0538,0.0571,0.75,,,,
Qiaojia,catalog-only,stage 1,"Qiaojia catalog-only, stage 1",27,8,1,5497,0.0158,0.0153,8.0,11.0,0.21,18.22,0.0484,0.3533,87.0,21,4.0,0.01,12.29,0.0689,0.5309,87.0,13.7892,17.3022,0.218,0.9524,0.5738,0.4389,0.4479,0.0574
Ridgecrest,catalog-only,stage 1,"Ridgecrest catalog-only, stage 1",98,20,2,4583,0.0803,0.0806,20.0,14.0,0.01,15.05,,,,71,4.0,0.0,13.36,,,,15.3736,4.8972,0.1508,0.971,,,,
Maduo,catalog-only,stage 1,"Maduo catalog-only, stage 1",65,16,2,11325,0.0197,0.0196,16.0,13.0,0.11,47.27,,,,48,4.0,0.03,39.4,,,,42.6792,19.6124,0.1253,0.9787,,,,
Qiaojia,catalog-only,stage 2,"Qiaojia catalog-only, stage 2",1004,386,3,5090,0.9222,0.9339,384.0,7.0,0.11,15.26,0.0087,0.2404,4694.0,827,4.0,0.04,10.85,0.0059,0.311,4694.0,16.3993,13.4849,0.2725,0.9834,0.6014,0.5451,0.3954,0.0059
Qiaojia,+narrative,stage 2,"Qiaojia +narrative, stage 2",1026,383,3,5094,0.9238,0.9352,382.0,7.0,0.12,14.22,0.0079,0.2407,4706.0,831,4.0,0.04,10.45,0.0059,0.3108,4706.0,16.1494,13.2229,0.2675,0.9887,0.607,0.5564,0.392,0.0054
Ridgecrest,catalog-only,stage 2,"Ridgecrest catalog-only, stage 2",526,123,2,4091,0.9826,0.9845,123.0,27.0,0.03,16.24,,,,350,13.0,0.01,15.51,,,,15.7873,15.3799,0.2722,0.9941,,,,
Ridgecrest,+narrative,stage 2,"Ridgecrest +narrative, stage 2",535,123,2,4081,0.9809,0.97,121.0,27.0,0.04,16.15,,,,355,13.0,0.01,15.38,,,,15.8194,15.2427,0.2759,0.9913,,,,
Maduo,catalog-only,stage 2,"Maduo catalog-only, stage 2",1725,758,5,10879,0.9525,0.9589,719.0,13.0,0.38,46.12,,,,1344,6.0,0.23,43.18,,,,45.4164,44.0318,0.1347,0.9921,,,,
Maduo,+narrative,stage 2,"Maduo +narrative, stage 2",1662,712,5,10883,0.9575,0.9631,682.0,13.0,0.4,46.85,,,,1282,7.0,0.24,43.71,,,,46.1148,43.9704,0.1084,0.9951,,,,
Qiaojia,catalog-only,rule-based reference graph (Louvain),"Qiaojia rule-based reference graph, Louvain communities",17,17,0,5218,1.0,,,,,,,,,17,160.0,198.17,8.61,1.0,1.0,5218.0,,,,,,,,
