catalog,condition,prompts,index,n_records,n_entities,n_event_entities,share_event,share_geo,share_cluster,share_untyped,format_collapse_types,event_with_timestamp,matched_entities,records_covered,records_exactly_once,records_multiple,records_missing,coverage,missing_rate,duplicate_entities,duplicate_rate,entity_precision,unmatched,unmatched_no_timestamp,unmatched_outside_span,unmatched_no_record_within_1s,unmatched_coord_mismatch,mag_parsed,mag_exact_share,mag_field_confusion,mag_err_gt_0p5_any,mag_abs_err_median,depth_parsed,depth_exact_share,coord_parsed,coord_exact_share,all_four_fields_exact_share
Qiaojia,catalog-only,default,"Qiaojia catalog-only, default",5218,5247,1400,0.267,0.715,0.0,0.017,0,450,449,409,374,35,4809,0.0784,0.9216,40,0.0286,0.3207,951,950,0,1,0,145,0.9517,0,2,0.026,0,0.0,0,0.0,0.0
Qiaojia,+narrative,default,"Qiaojia +narrative, default",5218,5161,1476,0.286,0.694,0.0,0.018,0,465,464,402,349,53,4816,0.077,0.923,62,0.042,0.3144,1012,1011,0,1,0,80,0.975,0,0,0.024,0,0.0,0,0.0,0.0
Ridgecrest,catalog-only,default,"Ridgecrest catalog-only, default",4188,1985,266,0.134,0.828,0.0,0.038,0,3,3,3,3,0,4185,0.0007,0.9993,0,0.0,0.0113,263,263,0,0,0,0,0.0,0,0,,0,0.0,0,0.0,0.0
Ridgecrest,+narrative,default,"Ridgecrest +narrative, default",4188,2072,322,0.155,0.779,0.0,0.057,0,17,17,17,17,0,4171,0.0041,0.9959,0,0.0,0.0528,305,305,0,0,0,0,0.0,0,0,,0,0.0,0,0.0,0.0
Maduo,catalog-only,default,"Maduo catalog-only, default",10621,15402,2954,0.192,0.794,0.0,0.014,1,1748,1742,1742,1742,0,8879,0.164,0.836,0,0.0,0.5897,1212,1206,0,6,0,198,0.9949,0,0,0.0,15,1.0,0,0.0,0.0
Maduo,+narrative,default,"Maduo +narrative, default",10621,15658,3228,0.206,0.777,0.0,0.015,0,1738,1733,1719,1705,14,8902,0.1618,0.8382,14,0.0043,0.5369,1495,1490,0,5,0,182,0.9945,0,0,0.0,15,1.0,0,0.0,0.0
Qiaojia,catalog-only,stage 1,"Qiaojia catalog-only, stage 1",5218,5670,5573,0.983,0.0,0.0,0.017,0,5573,5497,4558,3622,936,660,0.8735,0.1265,939,0.1685,0.9864,76,0,0,4,72,5480,0.988,34,37,0.024,5255,0.9964,5378,0.9927,0.9371
Ridgecrest,catalog-only,stage 1,"Ridgecrest catalog-only, stage 1",4188,4840,4664,0.964,0.0,0.0,0.036,0,4664,4583,4096,3609,487,92,0.978,0.022,487,0.1044,0.9826,81,0,0,0,81,4528,0.9978,3,4,0.01,4384,0.9991,4492,0.9996,0.9509
Maduo,catalog-only,stage 1,"Maduo catalog-only, stage 1",10621,11606,11408,0.983,0.0,0.0,0.017,0,11408,11325,10514,9703,811,107,0.9899,0.0101,811,0.0711,0.9927,83,0,0,39,44,11317,0.9957,42,42,0.0,10964,0.9975,11134,0.9996,0.9601
Qiaojia,catalog-only,stage 2,"Qiaojia catalog-only, stage 2",5218,6157,5128,0.833,0.0,0.151,0.016,0,5128,5090,5065,5040,25,153,0.9707,0.0293,25,0.0049,0.9926,38,0,0,7,31,4995,0.9974,3,3,0.022,4955,0.9992,4946,0.9996,0.9558
Qiaojia,+narrative,stage 2,"Qiaojia +narrative, stage 2",5218,6206,5124,0.826,0.001,0.153,0.017,0,5123,5094,5072,5050,22,146,0.972,0.028,22,0.0043,0.9941,30,1,1,10,18,5033,0.9978,2,3,0.022,4881,0.9994,4917,0.9992,0.946
Ridgecrest,catalog-only,stage 2,"Ridgecrest catalog-only, stage 2",4188,4588,4095,0.893,0.0,0.085,0.022,0,4095,4091,4088,4085,3,100,0.9761,0.0239,3,0.0007,0.999,4,0,0,0,4,4007,0.999,3,3,0.0,3989,0.9992,3979,0.9997,0.9604
Ridgecrest,+narrative,stage 2,"Ridgecrest +narrative, stage 2",4188,4697,4172,0.888,0.0,0.087,0.022,0,4168,4081,4075,4069,6,113,0.973,0.027,6,0.0014,0.9782,91,4,23,51,13,3999,0.9985,3,4,0.0,3969,0.9992,3957,0.9997,0.9556
Maduo,catalog-only,stage 2,"Maduo catalog-only, stage 2",10621,12704,10904,0.858,0.0,0.12,0.021,0,10904,10879,10505,10131,374,116,0.9891,0.0109,374,0.0343,0.9977,25,0,0,14,11,10805,0.9992,6,6,0.0,10752,0.9994,10716,0.9999,0.9792
Maduo,+narrative,stage 2,"Maduo +narrative, stage 2",10621,12672,10908,0.861,0.0,0.116,0.022,0,10906,10883,10503,10123,380,118,0.9889,0.0111,380,0.0348,0.9977,25,2,2,8,13,10800,0.9991,8,8,0.0,10752,0.9996,10722,0.9998,0.9792
