index,title,description
"Qiaojia catalog-only, default",EVENT,"The entity ""EVENT"" refers to a collection of seismic activities that occurred over several dates in 2022 and early 2023.   On December 26, 2022, a series of sei"
"Qiaojia catalog-only, default",2022-08-23,Date of multiple seismic events occurring with different magnitudes and depths.
"Qiaojia catalog-only, default",2022-08-24,Date of additional seismic events occurring with different magnitudes and depths.
"Qiaojia catalog-only, default",MAG,"Magnitude of the seismic events, indicating the strength of each recorded earthquake."
"Qiaojia catalog-only, default",M2.5,"The entity ""M2.5"" refers to a series of seismic events, all recorded with a magnitude of 2.5 on the Richter scale. These events occurred at various times and lo"
"Qiaojia catalog-only, default",M2.0,"M2.0 refers to a classification of seismic events characterized by a magnitude of 2.0, indicating minor earthquakes. Throughout the period from September 2022 t"
"Qiaojia +narrative, default",MW 7.7 EARTHQUAKE,"The Mw 7.7 earthquake that struck northern Myanmar in March 2025 is a significant seismic event that occurred within a recognized seismic gap, resulting in casu"
"Qiaojia +narrative, default",LUDING EARTHQUAKE,"The 2022 Mw 6.6 Luding earthquake ended a 236-year quiescence on the southern Xianshuihe fault, marking a significant seismic event in the region."
"Qiaojia +narrative, default",HUANING EARTHQUAKE,"The Huaning earthquake, which occurred in 1789, is a notable historical seismic event characterized by a magnitude of 7.0. This earthquake is associated with th"
"Qiaojia +narrative, default",SONGMING EARTHQUAKE,The 1833 M8.0 Songming earthquake is a major historical seismic event linked to the Zemuhe-Xiaojiang fault system.
"Qiaojia +narrative, default",XICHANG EARTHQUAKE,The 1850 M7.5 Xichang earthquake is a significant historical seismic event associated with the Zemuhe-Xiaojiang fault system.
"Qiaojia +narrative, default",HUA NING EARTHQUAKE,The 1909 M6.7 Huaning earthquake is a moderate seismic event that occurred in the region.
"Ridgecrest catalog-only, default",EARTHQUAKE,"The entity ""EARTHQUAKE"" refers to a series of seismic events characterized by the shaking of the ground, primarily occurring in California during July 2019. The"
"Ridgecrest catalog-only, default",2019,"The year in which the seismic events occurred, specifically on July 4."
"Ridgecrest catalog-only, default",M2.5,"The entity ""M2.5"" refers to a classification of seismic events indicating a minor earthquake, specifically a magnitude of 2.5 on the Richter scale. This classif"
"Ridgecrest catalog-only, default",M2.1,"M2.1 refers to a classification of earthquake magnitude indicating a minor seismic event, specifically denoting earthquakes that have been recorded with a magni"
"Ridgecrest catalog-only, default",M6.4,"The entity ""M6.4"" refers to a significant seismic event characterized by a magnitude of 6.4 on the Richter scale. This earthquake occurred on July 4, 2019, at s"
"Ridgecrest catalog-only, default",M4.5,"The entity ""M4.5"" refers to a specific measurement indicating the magnitude of seismic activity, particularly earthquakes, recorded on various dates in July 201"
"Ridgecrest +narrative, default",M W 6.4,"The M W 6.4 earthquake occurred on July 4, 2019, and is recognized as the first significant event in the Ridgecrest earthquake sequence. This earthquake was not"
"Ridgecrest +narrative, default",M W 7.1,"The M W 7.1 earthquake is a significant seismic event that occurred approximately 34 hours after the M W 6.4 earthquake, both of which are part of the Ridgecres"
"Ridgecrest +narrative, default",MW 7.1,"The Mw 7.1 earthquake occurred on July 4, 2019, and was a significant seismic event in the Ridgecrest area."
"Ridgecrest +narrative, default",MW 6.4,The Mw 6.4 earthquake occurred shortly before the Mw 7.1 earthquake and was part of the same seismic sequence.
"Ridgecrest +narrative, default",B921,B921 is another reference to a specific seismic event or location associated with the seismic activity in the Ridgecrest area.
"Ridgecrest +narrative, default",RIDGECREST EARTHQUAKE,"The Ridgecrest earthquake refers to a sequence of seismic events that occurred in July 2019, including a significant mainshock of magnitude 7.1 and numerous aft"
"Maduo catalog-only, default",EVENT,"A series of seismic events recorded on June 1, 2021, with various magnitudes and depths at different coordinates."
"Maduo catalog-only, default",2021-06-01,"The entity ""2021-06-01"" refers to a specific date that is significant for multiple reasons. On this day, various recorded activities and measurements took place"
"Maduo catalog-only, default",MAGNITUDE 0.5,"The entity ""MAGNITUDE 0.5"" refers to a specific seismic event characterized by a magnitude of 0.5, which indicates that it is classified as a minor earthquake. "
"Maduo catalog-only, default",MAGNITUDE 1.2,"The entity ""MAGNITUDE 1.2"" refers to a series of seismic events characterized by a magnitude of 1.2, which indicates minor earthquakes. Two specific seismic eve"
"Maduo catalog-only, default",MAGNITUDE 1.1,"The entity ""MAGNITUDE 1.1"" refers to a series of seismic events characterized by a magnitude of 1.1, which indicates minor earthquakes. Two specific seismic eve"
"Maduo catalog-only, default",MAGNITUDE 0.9,"The entity ""MAGNITUDE 0.9"" refers to a series of seismic events characterized by a low magnitude of 0.9, indicating minor earthquakes. Two specific seismic even"
"Maduo +narrative, default",EVENT,"A series of seismic events recorded on June 1, 2021, with various magnitudes and depths at different coordinates."
"Maduo +narrative, default",2021,The year 2021 is significant as it serves as the timeframe during which various seismic activities were recorded. This year is referenced multiple times in the 
"Maduo +narrative, default",JUNE,The month in which the seismic events occurred.
"Maduo +narrative, default",1,The day on which the seismic events occurred.
"Maduo +narrative, default",SEISMIC EVENT 2,"The entity ""SEISMIC EVENT 2"" encompasses a series of recorded seismic events that occurred in 2021, each characterized by specific coordinates and magnitudes.  "
"Maduo +narrative, default",SEISMIC EVENT 3,"The entity ""SEISMIC EVENT 3"" encompasses a series of seismic occurrences recorded in specific geographical locations within a defined timeframe.   The first eve"
"Qiaojia catalog-only, stage 1",EVENT 2022-09-05T04:53:07,"An earthquake occurred on 2022-09-05 at 04:53:07, at latitude 26.903312, longitude 102.867399, depth 15.348 km, magnitude 1.7"
"Qiaojia catalog-only, stage 1",EVENT 2022-09-05T04:53:15,"An earthquake occurred on 2022-09-05 at 04:53:15, at latitude 26.681183, longitude 103.15494, depth 26.339 km, magnitude 2.1"
"Qiaojia catalog-only, stage 1",EVENT 2022-09-05T05:16:31,"An earthquake occurred on 2022-09-05 at 05:16:31, at latitude 26.777248, longitude 102.90957, depth 12.607 km, magnitude 2.1"
"Qiaojia catalog-only, stage 1",EVENT 2022-09-07T22:00:00,"An earthquake occurred on 2022-09-07 at 22:00:00, at latitude 26.934469, longitude 102.789453, depth 1.978 km, magnitude unknown"
"Qiaojia catalog-only, stage 1",EVENT 2022-09-11T21:46:28.160,"On September 11, 2022, at 21:46:28.160, an earthquake was recorded with a magnitude of 1.1. The event's geographical coordinates were reported as latitude 21.42"
"Qiaojia catalog-only, stage 1",EVENT 2022-09-23T11:48:05.150,"On September 23, 2022, at 11:48:05.150, two distinct earthquakes were reported, each occurring at different geographical locations and with varying magnitudes. "
"Qiaojia catalog-only, stage 1",[field confusion] EVENT 2022-10-11T19:32:21,"entity magnitude 1.0 vs catalog 1.62: On October 11, 2022, at 19:32:21, a series of earthquakes were recorded in a specific region characterized by varying ma"
"Qiaojia catalog-only, stage 1",[field confusion] EVENT 2022-10-20T16:52:41,"entity magnitude 1.0 vs catalog 1.62: On October 20, 2022, at 16:52:41, an earthquake was recorded at latitude 26.706856 and longitude 102.944149. The event o"
"Qiaojia catalog-only, stage 1",[field confusion] EVENT 2022-11-20T21:30:05.460,"entity magnitude 5.46 vs catalog 2.04: An earthquake occurred on 2022-11-20 at 21:30:05.460, at latitude 27.049215, longitude 102.82946, depth 7.08 km, magnitu"
"Qiaojia catalog-only, stage 1",[field confusion] EVENT 2022-12-01T06:07:55,"entity magnitude 0.0 vs catalog 1.09: An earthquake occurred on 2022-12-01 at 06:07:55, at latitude 27.122327, longitude 102.721444, depth 6.542 km, magnitude"
"Ridgecrest catalog-only, stage 1",EVENT 2019-07-04T21:37:17.420,"On July 4, 2019, at 21:37:17.420, an earthquake was recorded with a magnitude of 2.3. The event occurred at a depth of approximately 1.3 kilometers. There are t"
"Ridgecrest catalog-only, stage 1",EVENT 2019-07-04T22:18:18.020,"An earthquake occurred on 2019-07-04 at 22:18:18.020, at latitude 5.606124, longitude -117.591463, depth 6.769 km, magnitude 2.2"
"Ridgecrest catalog-only, stage 1",EVENT 2019-07-04T22:19:55.240,"An earthquake occurred on 2019-07-04 at 22:19:55.240, at latitude 5.701888, longitude -117.509806, depth 11.715 km, magnitude 2.2"
"Ridgecrest catalog-only, stage 1",EVENT 2019-07-04T22:28:30.660,"An earthquake occurred on 2019-07-04 at 22:28:30.660, at latitude 5.697481, longitude -117.494100, depth 19.625 km, magnitude 2.0"
"Ridgecrest catalog-only, stage 1",EVENT 2019-07-04T22:29:06.200,"An earthquake occurred on 2019-07-04 at 22:29:06.200, at latitude 5.703748, longitude -117.496077, depth 8.612 km, magnitude 2.5"
"Ridgecrest catalog-only, stage 1",EVENT 2019-07-04T22:30:07.540,"An earthquake occurred on 2019-07-04 at 22:30:07.540, at latitude 5.703271, longitude -117.490169, depth 1.430 km, magnitude 2.6"
"Ridgecrest catalog-only, stage 1",[field confusion] EVENT 2019-07-04T19:39:49,"entity magnitude 2.0 vs catalog 2.63: An earthquake occurred on 2019-07-04 at 19:39:49, at latitude 35.681, longitude -117.517, depth 9.4 km, magnitude 2.0"
"Ridgecrest catalog-only, stage 1",[field confusion] EVENT 2019-07-06T11:10:24,"entity magnitude 2.0 vs catalog 2.84: An earthquake occurred on 2019-07-06 at 11:10:24, at latitude 35.923523, longitude -117.706193, depth 2.681 km, magnitud"
"Ridgecrest catalog-only, stage 1",[field confusion] EVENT 2019-07-06T12:05:20.980,"entity magnitude 2.3 vs catalog 3.28: On July 6, 2019, at 12:05:20.980, an earthquake occurred at latitude 35.789648 and longitude -117.628703. The event was "
"Maduo catalog-only, stage 1",EVENT 2021-06-05T17:48:29.34,"On June 5, 2021, at 17:48:29.34, an earthquake event was recorded. The earthquake had a magnitude of 0.6 and occurred at a depth of approximately 10.7 kilometer"
"Maduo catalog-only, stage 1",EVENT 2021-06-06T14:15:28.99,"An earthquake occurred on 2021-06-06 at 14:15:28.99, at latitude 28.99, longitude 1.3, depth 12.3 km, magnitude 1.3"
"Maduo catalog-only, stage 1",EVENT 2021-06-11T06:16:52.12,"An earthquake occurred on 2021-06-11 at 06:16:52.12, at latitude 34.974097, longitude 10.891, depth 10.9 km, magnitude 1.9"
"Maduo catalog-only, stage 1",EVENT 2021-06-15T20:38:25.68,"On June 15, 2021, at 20:38:25.68, an earthquake was recorded with a magnitude of 0.8. The event occurred at a depth of approximately 13.2 kilometers. There are "
"Maduo catalog-only, stage 1",EVENT 2021-06-16T03:27:06.09,"On June 16, 2021, at 03:27:06.09, an earthquake was recorded with a magnitude of 0.8. The event occurred at a depth of approximately 8.4 kilometers. The geograp"
"Maduo catalog-only, stage 1",EVENT 2021-06-23T08:31:39.61,"On June 23, 2021, at 08:31:39.61, an earthquake was recorded with a magnitude of 0.6. The event occurred at a depth of 9.5 kilometers. There are two conflicting"
"Maduo catalog-only, stage 1",[field confusion] EVENT 2021-06-05T14:32:03.11,"entity magnitude 3.11 vs catalog 0.50: An earthquake occurred on 2021-06-05 at 14:32:03.11, at latitude 34.680534, longitude 98.221826, depth 14.953 km, magnit"
"Maduo catalog-only, stage 1",[field confusion] EVENT 2021-06-05T18:10:04.46,"entity magnitude 4.46 vs catalog 1.90: An earthquake occurred on 2021-06-05 at 18:10:04.46, at latitude 34.718339, longitude 97.92863, depth 6.439 km, magnitud"
"Maduo catalog-only, stage 1",[field confusion] EVENT 2021-06-18T22:02:08,"entity magnitude 8.4 vs catalog 0.50: An earthquake occurred on 2021-06-18 at 22:02:08, at latitude 34.446903, longitude 99.18763, depth 0.883 km, magnitude 8"
"Maduo catalog-only, stage 1",[field confusion] EVENT 2021-06-21T11:13:02.16,"entity magnitude 2.16 vs catalog 1.10: On June 21, 2021, at 11:13:02.16, an earthquake was recorded at latitude 34.763 and longitude 97.56. The event occurred "
"Qiaojia catalog-only, stage 2",EVENT 2022-08-24T15:05:17.870,"An earthquake occurred on 2022-08-24 at 15:05:17.870, at latitude 27.139158, longitude 102.8545, depth 12.671 km, magnitude 0.8"
"Qiaojia catalog-only, stage 2",EVENT 2022-09-07T21:47:32.100,"An earthquake occurred on September 7, 2022, at 21:47:32.100. The event was recorded at two different locations: one at latitude 26.986759 and longitude 102.987"
"Qiaojia catalog-only, stage 2",EVENT 2022-10-25T21:42:29.360,"An earthquake occurred on 2022-10-25 at 21:42:29.360, at latitude 26.996993, longitude 102.763175, depth 18.9 km, magnitude 0.6"
"Qiaojia catalog-only, stage 2",EVENT 2022-10-25T21:42:29.620,"An earthquake occurred on 2022-10-25 at 21:42:29.620, at latitude 26.988708, longitude 102.756836, depth 16.8 km, magnitude 1.5"
"Qiaojia catalog-only, stage 2",EVENT 2022-10-26T05:27:57.290,"The entity ""EVENT 2022-10-26T05:27:57.290"" is associated with an earthquake that occurred on October 26, 2022, at 05:27:57.290. The descriptions indicate that t"
"Qiaojia catalog-only, stage 2",EVENT 2022-10-31T20:24:01.240,"An earthquake occurred on 2022-10-31 at 20:24:01.240, at latitude 26.994771, longitude 102.825627, depth 22.337 km, magnitude 2.2"
"Qiaojia catalog-only, stage 2",[field confusion] EVENT 2022-11-11T23:19:11.200,"entity magnitude 0.4 vs catalog 1.31: An earthquake occurred on November 11, 2022, at 23:19:11.200, located at latitude 26.980829 and longitude 102.908268, wi"
"Qiaojia catalog-only, stage 2",[field confusion] EVENT 2022-12-23T21:11:04.040,"entity magnitude 1.0 vs catalog 1.71: An earthquake occurred on December 23, 2022, at 21:11:04.040, located at latitude 27.001312 and longitude 102.820972, wi"
"Qiaojia catalog-only, stage 2",[field confusion] EVENT 2023-02-15T23:38:55.840,"entity magnitude 0.0 vs catalog 0.70: An earthquake occurred on February 15, 2023, at 23:38:55.840, located at latitude 27.073069 and longitude 102.884473, wi"
"Qiaojia +narrative, stage 2",EVENT 2025-03-01T00:00:00,"An earthquake occurred on March 1, 2025, with a magnitude of 7.7, within the Qiaojia-Dongchuan seismic gap, resulting in significant casualties. This event is n"
"Qiaojia +narrative, stage 2",EVENT 2023-03-01T00:00:00,"The entity ""EVENT 2023-03-01T00:00:00"" refers to an earthquake event that took place in March 2023. This earthquake is potentially linked to the phenomenon of d"
"Qiaojia +narrative, stage 2",EVENT 2022-12-01T00:00:00,"An earthquake occurred in December 2022, coinciding with the peak of reservoir impoundment and the commissioning of the Baihetan Hydroelectric Power Station, ch"
"Qiaojia +narrative, stage 2",EVENT DEEP TECTONIC STRAIN,"Seismic events characterized by low b-values (<0.8) occurring at depths of 15–20 km, outlining a locked asperity on the Xiaojiang Fault, consistent with ongoing"
"Qiaojia +narrative, stage 2",EVENT 2022-10-11T22:49:28.380,"An earthquake occurred on 2022-10-11 at 22:49:28.380, at latitude 26.899715, longitude 102.930249, depth 11.137 km, magnitude 1.153457"
"Qiaojia +narrative, stage 2",EVENT 2022-10-11T22:49:34.880,"An earthquake occurred on 2022-10-11 at 22:49:34.880, at latitude 26.972072, longitude 103.06958, depth 10.231 km, magnitude 0.990535"
"Qiaojia +narrative, stage 2",[field confusion] EVENT 2022-11-11T23:19:11.200,"entity magnitude 0.4 vs catalog 1.31: On November 11, 2022, at 23:19:11.200, an earthquake occurred at latitude 26.980829 and longitude 102.908268, with a dep"
"Qiaojia +narrative, stage 2",[field confusion] EVENT 2022-12-23T21:11:04.040,"entity magnitude 1.0 vs catalog 1.71: On December 23, 2022, at 21:11:04.040, an earthquake occurred at latitude 27.001312 and longitude 102.820972. The depth "
"Ridgecrest catalog-only, stage 2",EVENT 2019-07-05T01:45:53.990,"An earthquake occurred on 2019-07-05 at 01:45:53.990, at latitude 35.684334, longitude -117.486629, depth 10.863 km, magnitude 2.25"
"Ridgecrest catalog-only, stage 2",EVENT 2019-07-05T01:47:02.080,"An earthquake occurred on 2019-07-05 at 01:47:02.080, at latitude 35.714290, longitude -117.467155, depth 1.236 km, magnitude 2.68"
"Ridgecrest catalog-only, stage 2",EVENT 2019-07-05T01:58:07.630,"An earthquake occurred on 2019-07-05 at 01:58:07.630, at latitude 35.774910, longitude -117.617261, depth 2.003 km, magnitude 3.21"
"Ridgecrest catalog-only, stage 2",EVENT 2019-07-08T07:57:32.050,"The entity ""EVENT 2019-07-08T07:57:32.050"" is associated with an earthquake that occurred on July 8, 2019, at 07:57:32.050. The descriptions provide two sets of"
"Ridgecrest catalog-only, stage 2",[field confusion] EVENT 2019-07-04T19:39:49.640,"entity magnitude 2.0 vs catalog 2.63: The descriptions provided for the event on July 4, 2019, at 19:39:49.640, detail an earthquake that occurred at latitude"
"Ridgecrest catalog-only, stage 2",[field confusion] EVENT 2019-07-06T04:00:36.150,"entity magnitude 2.0 vs catalog 2.91: An earthquake occurred on July 6, 2019, at 04:00:36.150, located at latitude 35.948775 and longitude -117.701530, with a"
"Ridgecrest catalog-only, stage 2",[field confusion] EVENT 2019-07-07T03:20:46.730,"entity magnitude 2.0 vs catalog 2.78: An earthquake occurred on July 7, 2019, at 03:20:46.730, located at latitude 35.889563 and longitude -117.693254, with a"
"Ridgecrest +narrative, stage 2",EVENT 2019-07-05T04:00:00,"An earthquake occurred on 2019-07-05 at 04:00:00 UTC, with a magnitude of 7.1. This event is described as a mainshock that ruptured a northwest-striking fault."
"Ridgecrest +narrative, stage 2",EVENT 2019-07-04T01:00:00,"An earthquake occurred on 2019-07-04 at 01:00:00 UTC, with a magnitude of 0.0. This event is part of the foreshock sequence leading up to the M w 6.4 event."
"Ridgecrest +narrative, stage 2",EVENT 2019-07-04T02:00:00,"An earthquake occurred on 2019-07-04 at 02:00:00 UTC, with a magnitude of 0.0. This event is part of the foreshock sequence leading up to the M w 6.4 event."
"Ridgecrest +narrative, stage 2",EVENT 2019-07-04T03:00:00,"An earthquake occurred on 2019-07-04 at 03:00:00 UTC, with a magnitude of 0.0. This event is part of the foreshock sequence leading up to the M w 6.4 event."
"Ridgecrest +narrative, stage 2",EVENT 2019-07-04T04:00:00,"An earthquake occurred on 2019-07-04 at 04:00:00 UTC, with a magnitude of 0.0. This event is part of the foreshock sequence leading up to the M w 6.4 event."
"Ridgecrest +narrative, stage 2",EVENT 2019-07-04T05:00:00,"An earthquake occurred on 2019-07-04 at 05:00:00 UTC, with a magnitude of 0.0. This event is part of the foreshock sequence leading up to the M w 6.4 event."
"Ridgecrest +narrative, stage 2",[field confusion] EVENT 2019-07-04T19:39:49.640,"entity magnitude 2.0 vs catalog 2.63: The entity ""EVENT 2019-07-04T19:39:49.640"" refers to an earthquake that occurred on July 4, 2019, at 19:39:49.640. The d"
