qid,category,equal,rule_graph,catalog_reference
A2,A,True,Time range 2022-08-23 01:30:50 to 2023-03-17 14:22:01 (206.5 days); 5218 events; magnitude range M-0.91 to M4.18.,Time range 2022-08-23 01:30:50 to 2023-03-17 14:22:01 (206.5 days); 5218 events; magnitude range M-0.91 to M4.18.
A6,A,True,"Duration 206.5 days; spatial extent about 162.9 km N-S by 96.0 km E-W (lat 26.01-27.474, lon 102.509-103.477).","Duration 206.5 days; spatial extent about 162.9 km N-S by 96.0 km E-W (lat 26.01-27.474, lon 102.509-103.477)."
A8,A,True,"Depth range 0.19-68.82 km; mean 12.26 km; median 12.55 km; histogram (km): {'0-5': 552, '5-10': 1177, '10-15': 2081, '15-20': 1038, '20-30': 325, '>30': 45}.","Depth range 0.19-68.82 km; mean 12.26 km; median 12.55 km; histogram (km): {'0-5': 552, '5-10': 1177, '10-15': 2081, '15-20': 1038, '20-30': 325, '>30': 45}."
A10,A,True,Busiest month 2022-12 (1505 events); busiest day 2023-03-08 (169 events); busiest ISO week 2023-03-06/2023-03-12 (730 events).,Busiest month 2022-12 (1505 events); busiest day 2023-03-08 (169 events); busiest ISO week 2023-03-06/2023-03-12 (730 events).
A13,A,True,"Earliest event 2022-08-23 01:30:50 M1.38 (26.934, 102.874) depth 13.2 km; latest event 2023-03-17 14:22:01 M1.53 (27.093, 102.850) depth 6.4 km.","Earliest event 2022-08-23 01:30:50 M1.38 (26.934, 102.874) depth 13.2 km; latest event 2023-03-17 14:22:01 M1.53 (27.093, 102.850) depth 6.4 km."
A15,A,True,"Duration 206.5 days; spatial extent about 162.9 km N-S by 96.0 km E-W (lat 26.01-27.474, lon 102.509-103.477).","Duration 206.5 days; spatial extent about 162.9 km N-S by 96.0 km E-W (lat 26.01-27.474, lon 102.509-103.477)."
A16,A,True,30 events with M>=3.0.,30 events with M>=3.0.
A19,A,True,"Last calendar month 2023-03: 894 events, max M3.05; last 30 days: 1182 events.","Last calendar month 2023-03: 894 events, max M3.05; last 30 days: 1182 events."
B1,B,True,Busiest day 2023-03-08 with 169 events; busiest month 2022-12 with 1505 events.,Busiest day 2023-03-08 with 169 events; busiest month 2022-12 with 1505 events.
B2,B,True,"Largest event: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km.","Largest event: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km."
B3,B,True,"Top 5 by magnitude: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km; 2022-10-14 19:56:35 M4.06 (27.029, 103.013) depth 8.7 km; 2022-10-14 20:03:09 M3.90 (26.952, 103.011) depth 5.1 km; 2023-0","Top 5 by magnitude: 2022-10-18 22:12:35 M4.18 (27.005, 102.881) depth 2.6 km; 2022-10-14 19:56:35 M4.06 (27.029, 103.013) depth 8.7 km; 2022-10-14 20:03:09 M3.90 (26.952, 103.011) depth 5.1 km; 2023-0"
B4,B,True,"Deepest: 2022-11-26 13:53:44 M1.49 (27.081, 103.216) depth 68.8 km. Shallowest: 2022-11-11 14:52:47 M2.05 (26.857, 102.922) depth 0.2 km.","Deepest: 2022-11-26 13:53:44 M1.49 (27.081, 103.216) depth 68.8 km. Shallowest: 2022-11-11 14:52:47 M2.05 (26.857, 102.922) depth 0.2 km."
B5,B,True,Median magnitude M1.35 (mean M1.4).,Median magnitude M1.35 (mean M1.4).
B6,B,True,Quietest day with at least one event: 2022-10-07 (2 event(s)); 0 calendar days inside the span have zero events.,Quietest day with at least one event: 2022-10-07 (2 event(s)); 0 calendar days inside the span have zero events.
