system,catalog,condition,category,n,fabricated,out_of_scope,refusal,mainshock_misidentified,may22_as_catalog_data,n78832
graphrag_post,Maduo,+narrative,A,20,1,1,18,,0,0
graphrag_post,Maduo,+narrative,B,20,5,2,15,,0,0
graphrag_post,Maduo,+narrative,C,20,9,7,8,,5,0
graphrag_post,Maduo,+narrative,D,20,0,0,20,,0,0
graphrag_post,Maduo,+narrative,E,20,1,0,17,,0,0
graphrag_post,Maduo,catalog-only,A,20,0,0,20,,0,0
graphrag_post,Maduo,catalog-only,B,20,5,1,14,,1,0
graphrag_post,Maduo,catalog-only,C,20,13,14,4,,9,0
graphrag_post,Maduo,catalog-only,D,20,0,0,20,,0,0
graphrag_post,Maduo,catalog-only,E,20,1,1,19,,0,0
graphrag_post,Qiaojia,+narrative,A,20,6,0,2,,,
graphrag_post,Qiaojia,+narrative,B,20,10,0,7,,,
graphrag_post,Qiaojia,+narrative,C,20,6,3,8,,,
graphrag_post,Qiaojia,+narrative,D,20,0,0,18,,,
graphrag_post,Qiaojia,+narrative,E,20,5,0,4,,,
graphrag_post,Qiaojia,catalog-only,A,20,8,0,5,,,
graphrag_post,Qiaojia,catalog-only,B,20,10,2,6,,,
graphrag_post,Qiaojia,catalog-only,C,20,5,5,8,,,
graphrag_post,Qiaojia,catalog-only,D,20,2,0,18,,,
graphrag_post,Qiaojia,catalog-only,E,20,5,0,6,,,
graphrag_post,Ridgecrest,+narrative,A,20,11,10,0,0,,
graphrag_post,Ridgecrest,+narrative,B,20,14,3,5,0,,
graphrag_post,Ridgecrest,+narrative,C,20,9,3,2,0,,
graphrag_post,Ridgecrest,+narrative,D,20,3,4,16,0,,
graphrag_post,Ridgecrest,+narrative,E,20,10,4,4,0,,
graphrag_post,Ridgecrest,catalog-only,A,20,12,9,0,0,,
graphrag_post,Ridgecrest,catalog-only,B,20,15,6,4,0,,
graphrag_post,Ridgecrest,catalog-only,C,20,11,7,1,1,,
graphrag_post,Ridgecrest,catalog-only,D,20,4,5,16,0,,
