system,condition,convention,mean,ci_low,ci_high,half_width,n
graphrag_pre,qiaojia_only,lenient,1.35,1.19,1.51,0.16,100
graphrag_pre,qiaojia_only,strict,1.31,1.15,1.47,0.16,100
graphrag_pre,qiaojia_narrative,lenient,1.37,1.22,1.51,0.145,100
graphrag_pre,qiaojia_narrative,strict,1.3,1.14,1.46,0.16,100
graphrag_pre,ridgecrest_only,lenient,1.38,1.21,1.55,0.17,100
graphrag_pre,ridgecrest_only,strict,1.31,1.13,1.49,0.18,100
graphrag_pre,ridgecrest_narrative,lenient,1.42,1.26,1.57,0.155,100
graphrag_pre,ridgecrest_narrative,strict,1.37,1.2,1.53,0.165,100
graphrag_pre,maduo_only,lenient,0.78,0.61,0.95,0.17,100
graphrag_pre,maduo_only,strict,0.64,0.47,0.82,0.175,100
graphrag_pre,maduo_narrative,lenient,0.73,0.57,0.89,0.16,100
graphrag_pre,maduo_narrative,strict,0.6,0.44,0.77,0.165,100
graphrag_pre,luding_only,lenient,0.29,0.15,0.45,0.15,100
graphrag_pre,luding_only,strict,0.23,0.09,0.39,0.15,100
graphrag_post,qiaojia_only,lenient,1.28,1.09,1.48,0.195,100
graphrag_post,qiaojia_only,strict,1.03,0.81,1.25,0.22,100
graphrag_post,qiaojia_narrative,lenient,1.06,0.93,1.19,0.13,100
graphrag_post,qiaojia_narrative,strict,0.85,0.69,1.01,0.16,100
graphrag_post,ridgecrest_only,lenient,1.27,1.06,1.48,0.21,100
graphrag_post,ridgecrest_only,strict,1.19,0.98,1.4,0.21,100
graphrag_post,ridgecrest_narrative,lenient,0.98,0.84,1.12,0.14,100
graphrag_post,ridgecrest_narrative,strict,0.88,0.73,1.04,0.155,100
graphrag_post,maduo_only,lenient,1.2,1.02,1.39,0.185,100
graphrag_post,maduo_only,strict,0.63,0.41,0.87,0.23,100
graphrag_post,maduo_narrative,lenient,0.94,0.86,1.02,0.08,100
graphrag_post,maduo_narrative,strict,0.36,0.25,0.48,0.115,100
graphrag_post2,qiaojia_only,lenient,1.39,1.2,1.59,0.195,100
graphrag_post2,qiaojia_only,strict,1.13,0.9,1.36,0.23,100
graphrag_post2,qiaojia_narrative,lenient,1.2,1.04,1.36,0.16,100
graphrag_post2,qiaojia_narrative,strict,1.02,0.84,1.2,0.18,100
graphrag_post2,ridgecrest_only,lenient,1.51,1.31,1.7,0.195,100
graphrag_post2,ridgecrest_only,strict,1.4,1.18,1.62,0.22,100
graphrag_post2,ridgecrest_narrative,lenient,1.44,1.32,1.56,0.12,100
graphrag_post2,ridgecrest_narrative,strict,1.29,1.13,1.44,0.155,100
graphrag_post2,maduo_only,lenient,1.27,1.11,1.44,0.165,100
graphrag_post2,maduo_only,strict,0.6,0.39,0.83,0.22,100
graphrag_post2,maduo_narrative,lenient,0.99,0.84,1.14,0.15,100
graphrag_post2,maduo_narrative,strict,0.77,0.61,0.94,0.165,100
graphrag_post2,luding_only,lenient,1.3,1.12,1.49,0.185,100
graphrag_post2,luding_only,strict,0.85,0.62,1.09,0.235,100
vector_rag,qiaojia_only,lenient,1.44,1.27,1.62,0.175,100
vector_rag,qiaojia_only,strict,0.84,0.6,1.09,0.245,100
vector_rag,ridgecrest_only,lenient,1.49,1.31,1.67,0.18,100
vector_rag,ridgecrest_only,strict,1.07,0.83,1.31,0.24,100
vector_rag,maduo_only,lenient,1.34,1.19,1.5,0.155,100
vector_rag,maduo_only,strict,0.57,0.35,0.8,0.225,100
vector_rag,luding_only,lenient,1.41,1.25,1.58,0.165,100
vector_rag,luding_only,strict,0.63,0.39,0.87,0.24,100
