system,condition,convention,A,B,C,D,E,Avg,n,refusals,fabricated,out_of_scope
graphrag_pre,qiaojia_only,lenient,1.7,0.7,1.3,1.4,1.65,1.35,100,8,36,27
graphrag_pre,qiaojia_narrative,lenient,1.65,0.75,1.15,1.65,1.65,1.37,100,10,27,15
graphrag_pre,ridgecrest_only,lenient,1.5,0.7,1.55,1.6,1.55,1.38,100,11,34,38
graphrag_pre,ridgecrest_narrative,lenient,1.75,0.9,1.4,1.45,1.6,1.42,100,8,27,25
graphrag_pre,maduo_only,lenient,0.65,0.45,0.75,1.25,0.8,0.78,100,20,68,56
graphrag_pre,maduo_narrative,lenient,0.55,0.3,0.8,1.35,0.65,0.73,100,15,64,76
graphrag_pre,luding_only,lenient,0.05,0.25,0.0,1.0,0.15,0.29,100,12,88,90
graphrag_post,qiaojia_only,lenient,1.0,0.55,1.1,2.7,1.05,1.28,100,43,30,7
graphrag_post,qiaojia_narrative,lenient,1.3,0.55,0.95,1.1,1.4,1.06,100,39,27,3
graphrag_post,ridgecrest_only,lenient,1.1,0.55,1.05,2.4,1.25,1.27,100,24,53,36
graphrag_post,ridgecrest_narrative,lenient,1.05,0.5,1.05,1.05,1.25,0.98,100,27,47,24
graphrag_post,maduo_only,lenient,1.0,0.75,0.45,2.8,1.0,1.2,100,77,19,16
graphrag_post,maduo_narrative,lenient,1.05,0.8,0.8,1.0,1.05,0.94,100,78,16,10
graphrag_post2,qiaojia_only,lenient,1.35,0.55,1.05,2.85,1.15,1.39,100,43,47,20
graphrag_post2,qiaojia_narrative,lenient,1.4,0.55,1.25,1.7,1.1,1.2,100,29,34,19
graphrag_post2,ridgecrest_only,lenient,1.5,0.85,0.85,2.6,1.75,1.51,100,29,43,27
graphrag_post2,ridgecrest_narrative,lenient,1.75,1.15,1.4,1.4,1.5,1.44,100,29,23,26
graphrag_post2,maduo_only,lenient,0.9,0.75,1.0,2.7,1.0,1.27,100,87,15,12
graphrag_post2,maduo_narrative,lenient,1.1,0.55,0.65,1.7,0.95,0.99,100,35,49,54
graphrag_post2,luding_only,lenient,0.75,0.85,1.1,2.75,1.05,1.3,100,65,29,24
vector_rag,qiaojia_only,lenient,1.15,0.85,1.2,3.0,1.0,1.44,100,80,7,1
vector_rag,ridgecrest_only,lenient,1.45,0.8,1.2,3.0,1.0,1.49,100,62,16,1
vector_rag,maduo_only,lenient,1.0,1.0,0.9,2.8,1.0,1.34,100,98,2,2
vector_rag,luding_only,lenient,0.95,1.0,1.1,3.0,1.0,1.41,100,98,4,7
graphrag_pre,qiaojia_only,strict,1.7,0.55,1.3,1.4,1.6,1.31,100,8,36,27
graphrag_pre,qiaojia_narrative,strict,1.65,0.45,1.15,1.65,1.6,1.3,100,10,27,15
graphrag_pre,ridgecrest_only,strict,1.45,0.4,1.55,1.6,1.55,1.31,100,11,34,38
graphrag_pre,ridgecrest_narrative,strict,1.75,0.65,1.4,1.45,1.6,1.37,100,8,27,25
graphrag_pre,maduo_only,strict,0.55,0.05,0.65,1.25,0.7,0.64,100,20,68,56
graphrag_pre,maduo_narrative,strict,0.5,0.2,0.35,1.35,0.6,0.6,100,15,64,76
graphrag_pre,luding_only,strict,0.05,0.0,0.0,1.0,0.1,0.23,100,12,88,90
graphrag_post,qiaojia_only,strict,0.75,0.25,0.7,2.7,0.75,1.03,100,43,30,7
graphrag_post,qiaojia_narrative,strict,1.2,0.2,0.55,1.1,1.2,0.85,100,39,27,3
graphrag_post,ridgecrest_only,strict,1.1,0.35,1.0,2.4,1.1,1.19,100,24,53,36
graphrag_post,ridgecrest_narrative,strict,1.05,0.25,1.0,1.05,1.05,0.88,100,27,47,24
graphrag_post,maduo_only,strict,0.0,0.05,0.25,2.8,0.05,0.63,100,77,19,16
graphrag_post,maduo_narrative,strict,0.15,0.05,0.4,1.0,0.2,0.36,100,78,16,10
graphrag_post2,qiaojia_only,strict,1.25,0.25,0.45,2.85,0.85,1.13,100,43,47,20
graphrag_post2,qiaojia_narrative,strict,1.25,0.25,1.15,1.7,0.75,1.02,100,29,34,19
graphrag_post2,ridgecrest_only,strict,1.45,0.65,0.6,2.6,1.7,1.4,100,29,43,27
graphrag_post2,ridgecrest_narrative,strict,1.7,0.75,1.25,1.4,1.35,1.29,100,29,23,26
graphrag_post2,maduo_only,strict,0.05,0.0,0.15,2.7,0.1,0.6,100,87,15,12
graphrag_post2,maduo_narrative,strict,1.0,0.15,0.35,1.7,0.65,0.77,100,35,49,54
graphrag_post2,luding_only,strict,0.35,0.35,0.4,2.75,0.4,0.85,100,65,29,24
vector_rag,qiaojia_only,strict,0.4,0.05,0.75,3.0,0.0,0.84,100,80,7,1
vector_rag,ridgecrest_only,strict,1.1,0.15,0.85,3.0,0.25,1.07,100,62,16,1
vector_rag,maduo_only,strict,0.05,0.0,0.0,2.8,0.0,0.57,100,98,2,2
vector_rag,luding_only,strict,0.0,0.0,0.15,3.0,0.0,0.63,100,98,4,7
