system,condition,n,refusal_judge,fabricated_judge,out_of_scope_judge,score_0,maduo_may22_intrusion,maduo_78832,may22_cat_A,may22_cat_B,may22_cat_C,may22_cat_D,may22_cat_E,qiaojia_2021_dates,qiaojia_23N,qiaojia_out_of_range_any,m71_mentioned,m71_misdated_5july,m71_misdated_pct_of_mentions,luding_m68_as_catalog,luding_cross_catalog_names,luding_out_of_window_dates,luding_impossible_mag_excl_68,m68_cat_A,m68_cat_B,m68_cat_C,m68_cat_D,m68_cat_E
graphrag_post,maduo_narrative,100,78,16,10,12,5,0,0,0,5,0,0,,,,,,,,,,,,,,,
graphrag_post,maduo_only,100,77,19,16,18,10,0,0,1,9,0,0,,,,,,,,,,,,,,,
graphrag_post,qiaojia_narrative,100,39,27,3,20,,,,,,,,0,1,1,,,,,,,,,,,,
graphrag_post,qiaojia_only,100,43,30,7,21,,,,,,,,0,1,1,,,,,,,,,,,,
graphrag_post,ridgecrest_narrative,100,27,47,24,25,,,,,,,,,,,0,0,,,,,,,,,,
graphrag_post,ridgecrest_only,100,24,53,36,28,,,,,,,,,,,0,0,,,,,,,,,,
graphrag_post2,luding_only,100,65,29,24,16,,,,,,,,,,,,,,14,0,0,0,3,1,4,0,6
graphrag_post2,maduo_narrative,100,35,49,54,25,49,24,9,6,18,4,12,,,,,,,,,,,,,,,
graphrag_post2,maduo_only,100,87,15,12,9,1,0,0,1,0,0,0,,,,,,,,,,,,,,,
graphrag_post2,qiaojia_narrative,100,29,34,19,21,,,,,,,,0,0,0,,,,,,,,,,,,
graphrag_post2,qiaojia_only,100,43,47,20,19,,,,,,,,0,0,0,,,,,,,,,,,,
graphrag_post2,ridgecrest_narrative,100,29,23,26,5,,,,,,,,,,,8,4,50.0,,,,,,,,,
graphrag_post2,ridgecrest_only,100,29,43,27,20,,,,,,,,,,,34,1,2.9,,,,,,,,,
graphrag_pre,luding_only,100,12,88,90,83,,,,,,,,,,,,,,88,0,0,33,18,17,20,14,19
graphrag_pre,maduo_narrative,100,15,64,76,50,57,50,16,9,1,15,16,,,,,,,,,,,,,,,
graphrag_pre,maduo_only,100,20,68,56,46,4,0,0,3,0,0,1,,,,,,,,,,,,,,,
graphrag_pre,qiaojia_narrative,100,10,27,15,16,,,,,,,,0,0,0,,,,,,,,,,,,
graphrag_pre,qiaojia_only,100,8,36,27,16,,,,,,,,0,0,0,,,,,,,,,,,,
graphrag_pre,ridgecrest_narrative,100,8,27,25,17,,,,,,,,,,,45,1,2.2,,,,,,,,,
graphrag_pre,ridgecrest_only,100,11,34,38,19,,,,,,,,,,,48,0,0.0,,,,,,,,,
vector_rag,luding_only,100,98,4,7,1,,,,,,,,,,,,,,10,0,0,0,2,1,1,2,4
vector_rag,maduo_only,100,98,2,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
vector_rag,qiaojia_only,100,80,7,1,6,,,,,,,,0,0,0,,,,,,,,,,,,
vector_rag,ridgecrest_only,100,62,16,1,9,,,,,,,,,,,2,1,50.0,,,,,,,,,
