item_id,system,catalog,condition_type,qid,category,answer_chars,refusal,n_mag_values,mag_out_of_range,n_dates,dates_out_of_span,months_out_of_span,lat_out_of_box,lon_out_of_box,conflation_marker,any_out_of_catalog
graphrag_pre|qiaojia_only|A1,graphrag_pre,qiaojia,only,A1,A,1165,none,2,,2,,,,,,False
graphrag_pre|qiaojia_only|A2,graphrag_pre,qiaojia,only,A2,A,524,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|A3,graphrag_pre,qiaojia,only,A3,A,1045,none,2,,0,,,,,,False
graphrag_pre|qiaojia_only|A4,graphrag_pre,qiaojia,only,A4,A,786,none,2,,0,,,,,,False
graphrag_pre|qiaojia_only|A5,graphrag_pre,qiaojia,only,A5,A,1220,none,7,,0,,,,,,False
graphrag_pre|qiaojia_only|A6,graphrag_pre,qiaojia,only,A6,A,674,none,3,,0,,,,,,False
graphrag_pre|qiaojia_only|A7,graphrag_pre,qiaojia,only,A7,A,1136,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|A8,graphrag_pre,qiaojia,only,A8,A,729,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|A9,graphrag_pre,qiaojia,only,A9,A,876,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|A10,graphrag_pre,qiaojia,only,A10,A,690,none,1,,0,,,,,,False
graphrag_pre|qiaojia_only|A11,graphrag_pre,qiaojia,only,A11,A,924,none,3,,0,,,,,,False
graphrag_pre|qiaojia_only|A12,graphrag_pre,qiaojia,only,A12,A,849,none,2,,0,,,,,,False
graphrag_pre|qiaojia_only|A13,graphrag_pre,qiaojia,only,A13,A,359,none,0,,2,,,,,,False
graphrag_pre|qiaojia_only|A14,graphrag_pre,qiaojia,only,A14,A,919,none,0,,0,,,,,,False
graphrag_pre|qiaojia_only|A15,graphrag_pre,qiaojia,only,A15,A,785,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|A16,graphrag_pre,qiaojia,only,A16,A,886,none,8,,5,,,,,,False
graphrag_pre|qiaojia_only|A17,graphrag_pre,qiaojia,only,A17,A,1175,none,3,,0,,,,,,False
graphrag_pre|qiaojia_only|A18,graphrag_pre,qiaojia,only,A18,A,1023,none,1,,2,,,,,,False
graphrag_pre|qiaojia_only|A19,graphrag_pre,qiaojia,only,A19,A,952,none,2,10.4,1,,,,,,True
graphrag_pre|qiaojia_only|A20,graphrag_pre,qiaojia,only,A20,A,1057,none,4,,0,,,,,,False
graphrag_pre|qiaojia_only|B1,graphrag_pre,qiaojia,only,B1,B,695,none,1,,0,,,,,,False
graphrag_pre|qiaojia_only|B2,graphrag_pre,qiaojia,only,B2,B,701,none,4,31.76,6,,,,,,True
graphrag_pre|qiaojia_only|B3,graphrag_pre,qiaojia,only,B3,B,370,none,5,10.4,4,,,,,,True
